scenario,container,operation,start_time,end_time,duration_s,bytes_sent,bytes_received,throughput_Bps,init_rtt_ms,final_rtt_ms,init_cwnd,final_cwnd,init_ssthresh,final_ssthresh,total_retrans,mean_rtt_ms,mean_cwnd,mean_ssthresh,mean_retrans_rate_per_s
scenario1-single-clean,tcp-client1,PUT test-files/test_200MB.bin,2025-09-25T02:34:09Z,2025-09-25T02:34:12Z,2.432,209715234,64,86235963.31,0.115,2.636,10,1522,2147483647,1113,362,0.939,497.52,1431656101.19,148.85618
scenario1-single-clean,tcp-server,PUT,2025-09-25T02:34:09Z,2025-09-25T02:34:12Z,2.433,64,209715234,86185221.40,0.000,0.000,0,0,0,0,0,0.000,0.00,0.00,0.00000
scenario2-multiple-clean,tcp-client1,PUT test-files/test_200MB_scenario2-multiple-clean_client1.bin,2025-09-25T02:36:29Z,2025-09-25T02:36:33Z,3.354,209715267,97,62526221.67,0.112,2.884,10,1544,2147483647,1153,617,0.994,477.47,1491308439.83,183.95733
scenario2-multiple-clean,tcp-client2,PUT test-files/test_200MB_scenario2-multiple-clean_client2.bin,2025-09-25T02:36:29Z,2025-09-25T02:36:33Z,3.390,209715267,97,61863826.53,0.122,1.092,10,1715,2147483647,1285,406,0.731,460.03,1491308451.39,119.76573
scenario2-multiple-clean,tcp-client3,PUT test-files/test_200MB_scenario2-multiple-clean_client3.bin,2025-09-25T02:36:30Z,2025-09-25T02:36:33Z,3.173,209715267,97,66100358.73,0.119,3.503,10,1611,2147483647,1182,45,1.254,514.76,1452709880.76,14.18359
scenario2-multiple-clean,tcp-server,PUT,2025-09-25T02:36:29Z,2025-09-25T02:36:33Z,3.390,97,209715267,61861977.20,0.000,0.000,0,0,0,0,0,0.000,0.00,0.00,0.00000
scenario2-multiple-clean,tcp-server,PUT,2025-09-25T02:36:30Z,2025-09-25T02:36:33Z,3.174,97,209715267,66069167.85,0.000,0.000,0,0,0,0,0,0.000,0.00,0.00,0.00000
scenario3a-single-loss,tcp-client1,PUT test-files/test_200MB.bin,2025-09-25T02:38:49Z,2025-09-25T02:38:53Z,3.284,209715234,64,63850819.96,0.118,0.149,10,46,2147483647,27,1230,0.278,59.09,1104420198.63,374.49108
scenario3a-single-loss,tcp-server,PUT,2025-09-25T02:38:49Z,2025-09-25T02:38:53Z,3.285,64,209715234,63842063.58,0.000,0.000,0,0,0,0,0,0.000,0.00,0.00,0.00000
scenario3b-single-latency,tcp-client1,PUT test-files/test_200MB.bin,2025-09-26T02:30:34Z,2025-09-26T02:30:40Z,6.572,209715234,64,31912549.87,112.833,59.128,10,6251,2147483647,2147483647,0,77.539,3777.31,2147483647.00,0.00000
scenario3b-single-latency,tcp-server,PUT,2025-09-26T02:30:34Z,2025-09-26T02:30:40Z,6.452,64,209715234,32504718.83,0.000,0.000,0,0,0,0,0,0.000,0.00,0.00,0.00000
scenario4a-multiple-loss,tcp-client1,PUT test-files/test_200MB_scenario4a-multiple-loss_client1.bin,2025-09-25T02:43:31Z,2025-09-25T02:43:34Z,3.567,209715267,97,58792305.99,0.115,0.133,10,29,2147483647,27,1766,0.177,34.29,1356305479.66,495.08634
scenario4a-multiple-loss,tcp-client2,PUT test-files/test_200MB_scenario4a-multiple-loss_client2.bin,2025-09-25T02:43:31Z,2025-09-25T02:43:34Z,3.571,209715267,97,58727965.46,0.138,0.185,10,37,2147483647,23,1840,0.179,22.16,1412818201.29,515.26724
scenario4a-multiple-loss,tcp-client3,PUT test-files/test_200MB_scenario4a-multiple-loss_client3.bin,2025-09-25T02:43:31Z,2025-09-25T02:43:34Z,3.529,209715267,97,59418258.98,0.127,0.282,10,414,2147483647,46,1493,0.177,73.16,1412818204.87,423.00888
scenario4a-multiple-loss,tcp-server,PUT,2025-09-25T02:43:31Z,2025-09-25T02:43:34Z,3.529,97,209715267,59418804.87,0.000,0.000,0,0,0,0,0,0.000,0.00,0.00,0.00000
scenario4b-multiple-latency,tcp-client1,PUT test-files/test_200MB_scenario4b-multiple-latency_client1.bin,2025-09-25T02:45:54Z,2025-09-25T02:46:01Z,6.908,209715270,100,30358458.40,123.913,55.426,10,4548,2147483647,4548,3,82.434,2582.26,951031006.13,0.43428
scenario4b-multiple-latency,tcp-client2,PUT test-files/test_200MB_scenario4b-multiple-latency_client2.bin,2025-09-25T02:45:54Z,2025-09-25T02:46:01Z,6.973,209715270,100,30076266.74,119.224,59.114,10,6480,2147483647,6480,0,80.626,3573.17,1149360456.70,0.00000
scenario4b-multiple-latency,tcp-client3,PUT test-files/test_200MB_scenario4b-multiple-latency_client3.bin,2025-09-25T02:45:54Z,2025-09-25T02:46:01Z,6.847,209715270,100,30629234.86,114.701,57.414,10,5911,2147483647,5911,13,78.727,3359.26,1135101201.40,1.89867
scenario4b-multiple-latency,tcp-server,PUT,2025-09-25T02:45:54Z,2025-09-25T02:46:01Z,6.852,100,209715270,30604718.41,0.000,0.000,0,0,0,0,0,0.000,0.00,0.00,0.00000
scenario4b-multiple-latency,tcp-server,PUT,2025-09-25T02:45:55Z,2025-09-25T02:46:01Z,6.729,100,209715270,31166797.40,0.000,0.000,0,0,0,0,0,0.000,0.00,0.00,0.00000
